               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.025254,           0.0028588,          0.00078024,             0.98535,              0.9952,             0.99417,             0.92811,           0.0080492,           0.0006608,          9.8437e-06,            0.000604,            0.000604,            0.000604
                  35,            0.026154,           0.0030571,          0.00086784,             0.98512,             0.99514,             0.99421,             0.92897,           0.0079947,          0.00065625,          1.0317e-05,            0.000592,            0.000592,            0.000592
                  36,            0.024839,            0.002839,          0.00075406,             0.98527,             0.99504,             0.99416,             0.92958,           0.0080521,           0.0006608,          9.7737e-06,             0.00058,             0.00058,             0.00058
                  37,            0.025399,           0.0029812,          0.00085502,             0.98755,             0.99244,             0.99422,               0.929,            0.007987,          0.00065897,          9.8709e-06,            0.000568,            0.000568,            0.000568
                  38,            0.025726,           0.0029121,          0.00082753,              0.9852,             0.99489,             0.99414,             0.93017,           0.0079555,          0.00065596,          9.8758e-06,            0.000556,            0.000556,            0.000556
                  39,            0.024462,           0.0028625,          0.00076113,             0.98529,             0.99504,             0.99414,              0.9303,            0.007955,          0.00065437,          9.7857e-06,            0.000544,            0.000544,            0.000544
                  40,            0.025519,           0.0028917,          0.00080257,             0.98536,              0.9952,             0.99418,             0.92868,           0.0080569,          0.00065836,          9.7455e-06,            0.000532,            0.000532,            0.000532
                  41,            0.025539,           0.0029458,          0.00083995,             0.98588,             0.99449,             0.99419,              0.9286,           0.0080122,          0.00065807,          1.0028e-05,             0.00052,             0.00052,             0.00052
                  42,            0.025226,           0.0029706,          0.00086068,             0.98535,              0.9952,             0.99414,             0.92793,           0.0080808,          0.00066194,          9.8656e-06,            0.000508,            0.000508,            0.000508
                  43,             0.02493,           0.0028307,          0.00075863,             0.98544,             0.99489,             0.99415,              0.9294,           0.0080402,          0.00065766,          1.0061e-05,            0.000496,            0.000496,            0.000496
                  44,            0.025401,           0.0029186,          0.00079851,             0.98593,             0.99444,             0.99412,             0.92918,           0.0080715,          0.00066065,           9.811e-06,            0.000484,            0.000484,            0.000484
                  45,            0.025605,           0.0029306,          0.00081174,             0.98561,             0.99489,             0.99413,              0.9296,           0.0080014,          0.00065844,          9.8576e-06,            0.000472,            0.000472,            0.000472
                  46,             0.02509,           0.0029057,          0.00080851,             0.98527,             0.99504,             0.99419,             0.92892,            0.008017,           0.0006578,           9.777e-06,             0.00046,             0.00046,             0.00046
                  47,            0.025557,           0.0029202,           0.0008425,             0.98522,              0.9952,             0.99419,             0.92863,           0.0079854,          0.00065685,          9.9493e-06,            0.000448,            0.000448,            0.000448
                  48,            0.024943,           0.0029126,          0.00082544,              0.9854,             0.99498,             0.99415,              0.9298,           0.0079798,          0.00065613,          9.8525e-06,            0.000436,            0.000436,            0.000436
                  49,             0.02507,           0.0029331,          0.00081784,              0.9852,             0.99504,             0.99413,             0.92893,             0.00799,          0.00065677,           9.951e-06,            0.000424,            0.000424,            0.000424
