               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.017049,            0.010166,          0.00075343,             0.98684,             0.99028,             0.99461,             0.87854,            0.011496,           0.0047468,          0.00023111,           0.0091585,           0.0091585,           0.0091585
                  36,            0.017066,             0.01012,          0.00075224,             0.98421,             0.99409,             0.99423,             0.89228,            0.010308,           0.0046196,          0.00023651,           0.0091337,           0.0091337,           0.0091337
                  37,            0.016784,            0.010077,           0.0007442,             0.98481,             0.99037,             0.99445,             0.87121,            0.011456,           0.0047454,          0.00021925,            0.009109,            0.009109,            0.009109
                  38,            0.016479,            0.010034,          0.00068239,             0.98202,             0.99451,             0.99435,             0.88531,            0.010566,           0.0046173,          0.00023555,           0.0090843,           0.0090843,           0.0090843
                  39,            0.016633,           0.0098277,          0.00072119,             0.97972,             0.99612,             0.99395,             0.88336,            0.011143,           0.0047051,           0.0002783,           0.0090595,           0.0090595,           0.0090595
                  40,            0.016398,            0.010027,          0.00071017,             0.97989,             0.99627,             0.99449,             0.89387,            0.010667,           0.0045794,          0.00023811,           0.0090347,           0.0090347,           0.0090347
                  41,            0.016324,           0.0098146,          0.00070771,              0.9843,             0.99239,             0.99446,             0.89526,            0.010486,           0.0045263,          0.00023232,             0.00901,             0.00901,             0.00901
                  42,            0.016211,            0.009791,          0.00072252,             0.98209,              0.9954,             0.99451,             0.89428,             0.01019,           0.0044736,          0.00020397,           0.0089853,           0.0089853,           0.0089853
                  43,            0.015947,           0.0097197,          0.00077834,             0.98496,             0.99221,             0.99457,             0.88744,             0.01066,           0.0045339,          0.00022365,           0.0089605,           0.0089605,           0.0089605
                  44,            0.016053,           0.0096672,          0.00075039,             0.98393,             0.99478,             0.99449,             0.90162,            0.010136,           0.0044611,          0.00023513,           0.0089358,           0.0089358,           0.0089358
                  45,            0.015873,           0.0096473,          0.00070225,             0.98345,             0.99447,             0.99459,             0.89334,              0.0105,           0.0044826,          0.00021866,            0.008911,            0.008911,            0.008911
                  46,            0.015775,           0.0095555,          0.00075662,             0.98469,             0.99538,             0.99451,             0.88916,            0.010255,           0.0043627,          0.00022197,           0.0088863,           0.0088863,           0.0088863
                  47,            0.016096,           0.0097387,          0.00070672,             0.98349,             0.99525,             0.99424,             0.87522,            0.010871,           0.0044899,          0.00023958,           0.0088615,           0.0088615,           0.0088615
                  48,            0.015528,           0.0094718,          0.00064168,             0.98495,             0.99432,             0.99457,             0.90177,           0.0099431,           0.0043044,          0.00020692,           0.0088368,           0.0088368,           0.0088368
                  49,             0.01582,           0.0094485,           0.0006631,             0.98639,             0.99226,             0.99456,             0.89061,            0.010272,           0.0043817,          0.00021673,            0.008812,            0.008812,            0.008812
                  50,            0.015402,           0.0094865,          0.00065151,             0.98615,             0.99386,             0.99455,             0.88219,            0.010622,           0.0044289,          0.00019717,           0.0087872,           0.0087872,           0.0087872
                  51,            0.015415,            0.009314,          0.00069666,             0.98447,              0.9962,             0.99449,             0.88772,             0.01042,           0.0043625,          0.00021834,           0.0087625,           0.0087625,           0.0087625
                  52,            0.015241,           0.0092826,          0.00071533,             0.98479,             0.99469,             0.99461,             0.89097,            0.010557,           0.0044334,          0.00020433,           0.0087378,           0.0087378,           0.0087378
                  53,            0.015188,           0.0094443,          0.00073155,             0.98254,              0.9961,             0.99464,             0.89304,            0.010383,           0.0043584,          0.00021076,            0.008713,            0.008713,            0.008713
                  54,            0.015359,           0.0094126,          0.00064644,              0.9844,             0.99401,             0.99447,              0.8916,            0.010389,           0.0043991,          0.00019993,           0.0086882,           0.0086882,           0.0086882
                  55,            0.015226,           0.0093324,          0.00071729,             0.98498,             0.99448,             0.99457,             0.89364,            0.010359,           0.0043888,          0.00020814,           0.0086635,           0.0086635,           0.0086635
                  56,            0.014976,           0.0093058,          0.00066705,             0.98278,             0.99464,             0.99459,             0.90046,            0.010088,           0.0043094,          0.00021219,           0.0086388,           0.0086388,           0.0086388
                  57,            0.014809,           0.0091234,           0.0006798,             0.98265,              0.9955,              0.9945,             0.90044,           0.0097548,           0.0042893,          0.00021477,            0.008614,            0.008614,            0.008614
                  58,            0.014753,           0.0092411,          0.00069166,             0.98615,             0.99425,             0.99448,             0.89471,            0.010138,           0.0043336,          0.00021081,           0.0085893,           0.0085893,           0.0085893
